Title,Release Date,Run Time,MPAA Film Rating,Rating,Genres,Webpage
Bullet Train Explosion,2025,2h 14m,TV-14,6.3,Action,https://www.imdb.com/title/tt33452974/?ref_=chtmvm_i_36
Bullet Train Explosion,2025,2h 14m,TV-14,6.3,Crime,https://www.imdb.com/title/tt33452974/?ref_=chtmvm_i_36
Bullet Train Explosion,2025,2h 14m,TV-14,6.3,Drama,https://www.imdb.com/title/tt33452974/?ref_=chtmvm_i_36
Bullet Train Explosion,2025,2h 14m,TV-14,6.3,Thriller,https://www.imdb.com/title/tt33452974/?ref_=chtmvm_i_36
Novocaine,2025,1h 50m,R,6.5,Dark Comedy,https://www.imdb.com/title/tt29603959/?ref_=chtmvm_i_37
Novocaine,2025,1h 50m,R,6.5,One-Person Army Action,https://www.imdb.com/title/tt29603959/?ref_=chtmvm_i_37
Novocaine,2025,1h 50m,R,6.5,Superhero,https://www.imdb.com/title/tt29603959/?ref_=chtmvm_i_37
Novocaine,2025,1h 50m,R,6.5,Action,https://www.imdb.com/title/tt29603959/?ref_=chtmvm_i_37
Novocaine,2025,1h 50m,R,6.5,Comedy,https://www.imdb.com/title/tt29603959/?ref_=chtmvm_i_37
Novocaine,2025,1h 50m,R,6.5,Thriller,https://www.imdb.com/title/tt29603959/?ref_=chtmvm_i_37
Nosferatu,2024,2h 12m,R,7.2,Dark Fantasy,https://www.imdb.com/title/tt5040012/?ref_=chtmvm_i_38
Nosferatu,2024,2h 12m,R,7.2,Supernatural Horror,https://www.imdb.com/title/tt5040012/?ref_=chtmvm_i_38
Nosferatu,2024,2h 12m,R,7.2,Vampire Horror,https://www.imdb.com/title/tt5040012/?ref_=chtmvm_i_38
Nosferatu,2024,2h 12m,R,7.2,Fantasy,https://www.imdb.com/title/tt5040012/?ref_=chtmvm_i_38
Nosferatu,2024,2h 12m,R,7.2,Horror,https://www.imdb.com/title/tt5040012/?ref_=chtmvm_i_38
Nosferatu,2024,2h 12m,R,7.2,Mystery,https://www.imdb.com/title/tt5040012/?ref_=chtmvm_i_38
